1.470772240000000238e+03 1.452234670000000051e+03 9.488823457700001427e+02 1.118138480000000072e+03 9.681504426200001490e+02 2.157823310000000220e+03 1.789433689999999388e+03 1.023466349999999920e+03
2.127164780000000519e+03 2.085536930000000211e+03 1.372416570000000092e+03 1.575924710000000232e+03 1.390619050000000243e+03 3.035198940000000221e+03 2.597755490000000464e+03 1.500586729999999761e+03
3.027442750000000160e+03 3.028653699999998935e+03 1.953536460000000034e+03 2.336057179999999789e+03 2.019299639999999727e+03 4.461263490000000274e+03 3.715397410000000491e+03 2.163472170000000006e+03
4.248942979999999807e+03 4.291621960000000399e+03 2.741522080000000642e+03 3.296403550000000450e+03 2.861270719999999073e+03 6.428988110000001143e+03 5.283976119999999355e+03 3.037280369999999493e+03
5.889931519999999182e+03 6.072673229999999421e+03 3.800182839999999487e+03 4.569035690000000614e+03 4.048530239999999594e+03 8.961417970000002242e+03 7.438303160000001299e+03 4.195199889999999868e+03
8.215242839999998978e+03 8.393387580000000526e+03 5.300184749999999440e+03 6.181239799999999377e+03 5.595676100000000588e+03 1.231126572999999917e+04 1.033050655999999981e+04 5.684437869999999748e+03
1.117044448999999804e+04 1.147770191999999770e+04 7.206738209999998617e+03 8.398197720000000118e+03 7.651496489999999540e+03 1.658417781000000105e+04 1.415883135000000220e+04 7.710115549999999530e+03
1.506316761999999835e+04 1.551072250999999960e+04 9.717748519999999189e+03 1.130048820999999771e+04 1.034005689999999959e+04 2.236247581999999966e+04 1.922780887000000075e+04 1.041148361999999906e+04
2.014261736999999994e+04 2.084770116000000417e+04 1.299463744999999835e+04 1.530775294999999642e+04 1.389779119000000173e+04 3.024211864000000060e+04 2.592184664999999586e+04 1.414318329999999878e+04
2.661736278000000311e+04 2.755780056999999942e+04 1.717065730999999869e+04 2.046049162000000069e+04 1.836985846000000311e+04 4.012885199999999895e+04 3.460339661999999953e+04 1.886698823999999877e+04
3.478506975000000239e+04 3.635106149000000005e+04 2.251980404000000271e+04 2.679470057999999699e+04 2.431220464999998876e+04 5.338750587000000087e+04 4.572138130999999703e+04 2.456944079000000056e+04
